CTIC,NASDAQ,
AVEO,NASDAQ,
AIG,NYSE,
HBAN,NASDAQ,
YHOO,NASDAQ,
ALTR,NASDAQ,
KGC,NYSE,
CSCO,NASDAQ,
LVS,NYSE,
ABX,NYSE,
DAL,NYSE,
SWN,NYSE,
MT,NYSE,
VIPS,NYSE,
GLW,NYSE,
KEY,NYSE,
AAPL,NASDAQ,
SGYP,NASDAQ,
USB,NYSE,
JCP,NYSE,
ON,NASDAQ,
SCHW,NYSE,
QCOM,NASDAQ,
BK,NYSE,
ATVI,NASDAQ,
DOW,NYSE,
BBD,NYSE,
NEM,NYSE,
ECA,NYSE,
DNR,NYSE,
RF,NYSE,
XOM,NYSE,
AES,NYSE,
LOW,NYSE,
GG,NYSE,
PBR.A,NYSE,
NTAP,NASDAQ,
QQQ,NASDAQ,
MRK,NYSE,
BRCM,NASDAQ,
OAS,NYSE,
MRO,NYSE,
AXP,NYSE,
MYL,NASDAQ,
KORS,NYSE,
CLF,NYSE,
GM,NYSE,
BABA,NYSE,
JD,NASDAQ,
V,NYSE,
AMBA,NASDAQ,
TMUS,NYSE,
UAL,NYSE,
LUV,NYSE,
IBN,NYSE,
PBMD,NASDAQ,
CTL,NYSE,
SRC,NYSE,
CVX,NYSE,
MSFT,NASDAQ,
MDT,NYSE,
CMCSA,NASDAQ,
XIV,NASDAQ,
T,NYSE,
KO,NYSE,
MDLZ,NASDAQ,
GGB,NYSE,
UNP,NYSE,
BAC,NYSE,
FITB,NASDAQ,
OPK,NYSE,
RAD,NYSE,
MHR,NYSE,
NLY,NYSE,
ODP,NASDAQ,
WMT,NYSE,
VZ,NYSE,
BAX,NYSE,
COP,NYSE,
ABEV,NYSE,
BSX,NYSE,
INTC,NASDAQ,
KMI,NYSE,
DIS,NYSE,
AUY,NYSE,
SFUN,NYSE,
SBUX,NASDAQ,
AEO,NYSE,
WFC,NYSE,
MO,NYSE,
SIRI,NASDAQ,
WEN,NASDAQ,
PG,NYSE,
JNJ,NYSE,
AAL,NASDAQ,
ABBV,NYSE,
AVP,NYSE,
WIN,NASDAQ,
TGT,NYSE,
WMB,NYSE,
MCD,NYSE
