INFY,NYSE,
DYN,NYSE,
TXN,NASDAQ,
ISIS,NASDAQ,
JCP,NYSE,
GT,NASDAQ,
CCE,NYSE,
EGO,NYSE,
NVAX,NASDAQ,
SUG,NYSE,
XOMA,NASDAQ,
HBAN,NASDAQ,
ALTR,NASDAQ,
FTI,NYSE,
MNKD,NASDAQ,
EXEL,NASDAQ,
RDN,NYSE,
WYNN,NASDAQ,
MTG,NYSE,
ESV,NYSE,
RRD,NASDAQ,
WTW,NYSE,
CSIQ,NASDAQ,
MPEL,NASDAQ,
CYTX,NASDAQ,
HMY,NYSE,
CRK,NYSE,
VIPS,NYSE,
ARUN,NASDAQ,
CHS,NYSE,
FL,NYSE,
HSP,NYSE,
FAST,NASDAQ,
UAL,NYSE,
LULU,NASDAQ,
ACHN,NASDAQ,
AVGO,NASDAQ,
CLF,NYSE,
FXCM,NYSE,
CTRP,NASDAQ,
LYB,NYSE,
ETFC,NASDAQ,
HLX,NYSE,
XLS,NYSE,
HPQ,NYSE,
RDC,NYSE,
AXAS,NASDAQ,
BBT,NYSE,
SYMC,NASDAQ,
TOL,NYSE,
CTL,NYSE,
AKS,NYSE,
AA,NYSE,
YHOO,NASDAQ,
BRCM,NASDAQ,
HFC,NYSE,
PRU,NYSE,
XOM,NYSE,
ARNA,NASDAQ,
SCHW,NYSE,
EMR,NYSE,
LLTC,NASDAQ,
DYAX,NASDAQ,
ESRX,NASDAQ,
SNH,NYSE,
ODP,NASDAQ,
BIDU,NASDAQ,
DAL,NYSE,
ENDP,NASDAQ,
FHN,NYSE,
CLDX,NASDAQ,
CIE,NYSE,
SPLK,NASDAQ,
BHI,NYSE,
CAT,NYSE,
ATML,NASDAQ,
APC,NYSE,
BK,NYSE,
VIP,NASDAQ,
ANR,NYSE,
CLD,NYSE,
TASR,NASDAQ,
OWW,NYSE,
NKE,NYSE,
FCX,NYSE,
CPE,NYSE,
CDE,NYSE,
NEM,NYSE,
FTR,NASDAQ,
TLM,NYSE,
NYCB,NYSE,
HOG,NYSE,
CNQ,NYSE,
GS,NYSE,
CX,NYSE,
GFI,NYSE,
UNP,NYSE,
LOW,NYSE,
URBN,NASDAQ,
CNP,NYSE,
ARIA,NASDAQ,
WY,NYSE,
PCYC,NASDAQ,
AU,NYSE,
IP,NYSE,
DDD,NYSE,
CHK,NYSE,
LINE,NASDAQ,
WFC,NYSE,
PSX,NYSE,
BRCD,NASDAQ,
ABT,NYSE,
USB,NYSE,
PIR,NYSE,
NSC,NYSE,
SNDK,NASDAQ,
CCI,NYSE,
ZQK,NYSE,
EIX,NYSE,
DE,NYSE,
NTAP,NASDAQ,
EXXI,NASDAQ,
RF,NYSE,
TWX,NYSE,
EXC,NYSE,
HCBK,NASDAQ,
MT,NYSE,
OCN,NYSE,
BTU,NYSE,
BCS,NYSE,
MRO,NYSE,
AUY,NYSE,
QCOM,NASDAQ,
ATVI,NASDAQ,
M,NYSE,
CSCO,NASDAQ,
VRX,NYSE,
NLSN,NYSE,
WBAI,NYSE,
COP,NYSE,
