JCP,NYSE,
CTIC,NASDAQ,
AVEO,NASDAQ,
HBAN,NASDAQ,
VIPS,NYSE,
CSCO,NASDAQ,
RF,NYSE,
LVS,NYSE,
AKS,NYSE,
YHOO,NASDAQ,
SFUN,NYSE,
KEY,NYSE,
ANR,NYSE,
AIG,NYSE,
NEM,NYSE,
BRCM,NASDAQ,
USB,NYSE,
ALTR,NASDAQ,
XOM,NYSE,
SWN,NYSE,
ON,NASDAQ,
LOW,NYSE,
AMBA,NASDAQ,
MYL,NASDAQ,
ODP,NASDAQ,
AAPL,NASDAQ,
AES,NYSE,
FOXA,NASDAQ,
DOW,NYSE,
ATVI,NASDAQ,
CVX,NYSE,
UNP,NYSE,
RAD,NYSE,
MT,NYSE,
ECA,NYSE,
QCOM,NASDAQ,
INTC,NASDAQ,
UAL,NYSE,
DAL,NYSE,
CMCSA,NASDAQ,
BK,NYSE,
CTL,NYSE,
MSFT,NASDAQ,
FITB,NASDAQ,
COP,NYSE,
CHK,NYSE,
HPQ,NYSE,
KO,NYSE,
MRK,NYSE,
MDT,NYSE,
DIS,NYSE,
SGYP,NASDAQ,
KMI,NYSE,
CLF,NYSE,
QQQ,NASDAQ,
MRVL,NASDAQ,
LUV,NYSE,
MHR,NYSE,
KGC,NYSE,
GNW,NYSE,
ABX,NYSE,
DNR,NYSE,
V,NYSE,
KORS,NYSE,
IBN,NYSE,
MRO,NYSE,
PBR.A,NYSE,
BABA,NYSE,
SDRL,NYSE,
MDLZ,NASDAQ,
VZ,NYSE,
NLY,NYSE,
XIV,NASDAQ,
GLW,NYSE,
WFC,NYSE,
SRC,NYSE,
CRC,NYSE,
WEN,NASDAQ,
AUY,NYSE,
TGT,NYSE,
T,NYSE,
CSX,NYSE,
XRX,NYSE,
WIN,NASDAQ,
JD,NASDAQ,
GGB,NYSE,
GILD,NASDAQ,
BTU,NYSE,
NBG,NYSE,
TMUS,NYSE,
SAN,NYSE,
MO,NYSE,
VLO,NYSE,
SCHW,NYSE,
ABEV,NYSE,
OAS,NYSE,
EXC,NYSE,
OPK,NYSE,
NRF,NYSE,
SIRI,NASDAQ,
NTAP,NASDAQ,
HST,NYSE,
AVP,NYSE,
ABBV,NYSE,
PG,NYSE,
BBD,NYSE,
GG,NYSE
