UPL,NYSE,
USG,NYSE,
CRK,NYSE,
AKAM,NASDAQ,
PVA,NYSE,
GPOR,NASDAQ,
FRO,NYSE,
NVAX,NASDAQ,
INCY,NASDAQ,
CMC,NYSE,
DISH,NASDAQ,
XLS,NYSE,
SID,NYSE,
ARNA,NASDAQ,
EMN,NYSE,
AKS,NYSE,
MAS,NYSE,
ARIA,NASDAQ,
ALKS,NASDAQ,
BIDU,NASDAQ,
DRYS,NASDAQ,
RAD,NYSE,
SNDK,NASDAQ,
SFUN,NYSE,
UNIS,NASDAQ,
HMY,NYSE,
KERX,NASDAQ,
SAPE,NASDAQ,
PETM,NASDAQ,
AUQ,NYSE,
SSRI,NASDAQ,
ATI,NYSE,
NXPI,NASDAQ,
CSIQ,NASDAQ,
ESV,NYSE,
SYMC,NASDAQ,
LHO,NYSE,
GALE,NASDAQ,
CHRW,NASDAQ,
MDR,NYSE,
GGB,NYSE,
BBBY,NASDAQ,
PGR,NYSE,
MA,NYSE,
SNSS,NASDAQ,
AGCO,NYSE,
BYD,NYSE,
MUR,NYSE,
LVLT,NYSE,
TDW,NYSE,
KKR,NYSE,
SGYP,NASDAQ,
VIAB,NASDAQ,
BHI,NYSE,
TEVA,NYSE,
MDVN,NASDAQ,
CROX,NASDAQ,
BTU,NYSE,
ALJ,NYSE,
HBAN,NASDAQ,
WSM,NYSE,
OII,NYSE,
ABB,NYSE,
AFFX,NASDAQ,
IP,NYSE,
SGEN,NASDAQ,
APC,NYSE,
QVCA,NASDAQ,
TEF,NYSE,
DANG,NYSE,
CREE,NASDAQ,
WETF,NASDAQ,
DAL,NYSE,
AES,NYSE,
YGE,NYSE,
ON,NASDAQ,
PTEN,NASDAQ,
TSO,NYSE,
ALTR,NASDAQ,
OREX,NASDAQ,
HL,NYSE,
MYL,NASDAQ,
GILD,NASDAQ,
HMSY,NASDAQ,
BAS,NYSE,
YHOO,NASDAQ,
CRIS,NASDAQ,
ARMH,NASDAQ,
CNP,NYSE,
ARAY,NASDAQ,
QCOM,NASDAQ,
EXXI,NASDAQ,
JWN,NYSE,
BX,NYSE,
AVGO,NASDAQ,
MTW,NYSE,
LYB,NYSE,
WLT,NYSE,
CHK,NYSE,
YOKU,NYSE,
ASTI,NASDAQ,
BBVA,NYSE,
ABX,NYSE,
ROK,NYSE,
VIV,NYSE,
BEE,NYSE,
URBN,NASDAQ,
MDT,NYSE,
EXEL,NASDAQ,
GLNG,NASDAQ,
SWN,NYSE,
MPEL,NASDAQ,
PSX,NYSE,
UAL,NYSE,
ASX,NYSE,
NEE,NYSE,
HIG,NYSE,
AEZS,NASDAQ,
AEM,NYSE,
AXAS,NASDAQ,
SQNM,NASDAQ,
UTIW,NASDAQ,
NSM,NYSE,
FSLR,NASDAQ,
LL,NYSE,
AIG,NYSE,
ABEV,NYSE,
SPLK,NASDAQ,
ATML,NASDAQ,
NKTR,NASDAQ,
MCHP,NASDAQ,
GLW,NYSE,
XL,NYSE,
AU,NYSE,
TSLA,NASDAQ,
HBI,NYSE,
UA,NYSE,
ROST,NASDAQ,
TEL,NYSE,
ETP,NYSE,
CHS,NYSE,
EMR,NYSE,
CTL,NYSE,
SWFT,NYSE,
ERJ,NYSE,
LUV,NYSE,
ACM,NYSE,
NFLX,NASDAQ,
ENLK,NYSE,
PX,NYSE,
